Number,Vc,f,d,Ï•,VB,P,Replicate,Ra,Rz,Rq,Rt,Sm
12,280.0,0.13,0.95,D30,New,Chuck,36,1.44,7.59,1.76,9.13,127.0
13,280.0,0.1,0.53,D30,New,Chuck,36,1.16,6.28,1.43,8.09,96.0
14,280.0,0.1,1.37,D30,New,Chuck,36,1.3,7.41,1.61,9.28,94.0
15,280.0,0.1,0.95,D30,New,Chuck,36,1.11,5.75,1.34,6.38,97.0
16,280.0,0.1,0.95,D30,New,Chuck,36,1.1,5.78,1.35,6.54,86.0
17,280.0,0.1,0.95,D30,New,Chuck,36,1.39,8.0,1.7,10.04,88.0
1,220.0,0.08,0.7,D30,Worn,Live centre,1,0.77,3.81,0.95,4.25,62.0
2,340.0,0.08,0.7,D30,Worn,Live centre,1,3.09,15.66,3.81,20.73,126.0
3,220.0,0.12,0.7,D30,Worn,Live centre,1,1.86,11.15,2.33,13.69,106.0
4,340.0,0.12,0.7,D30,Worn,Live centre,1,3.17,15.28,3.74,16.27,151.0
5,220.0,0.08,1.2,D30,Worn,Live centre,1,2.15,11.9,2.62,14.43,115.0
6,340.0,0.08,1.2,D30,Worn,Live centre,1,8.1,37.45,9.68,39.94,440.0
7,220.0,0.12,1.2,D30,Worn,Live centre,1,3.27,19.48,4.2,30.42,136.0
8,340.0,0.12,1.2,D30,Worn,Live centre,1,5.53,26.51,6.7,29.28,195.0
9,179.09,0.1,0.95,D30,Worn,Live centre,1,3.29,16.49,3.95,20.67,159.0
10,380.91,0.1,0.95,D30,Worn,Live centre,1,4.54,20.12,5.34,22.07,177.0
11,280.0,0.07,0.95,D30,Worn,Live centre,1,2.57,12.49,3.03,13.36,111.0
12,280.0,0.13,0.95,D30,Worn,Live centre,1,1.67,10.08,2.14,11.53,95.0
13,280.0,0.1,0.53,D30,Worn,Live centre,1,2.51,13.48,3.08,19.05,118.0
14,280.0,0.1,1.37,D30,Worn,Live centre,1,3.5,20.25,4.32,26.89,131.0
15,280.0,0.1,0.95,D30,Worn,Live centre,1,3.15,15.53,3.71,17.27,119.0
16,280.0,0.1,0.95,D30,Worn,Live centre,1,2.99,16.71,3.67,21.34,109.0
17,280.0,0.1,0.95,D30,Worn,Live centre,1,3.07,16.62,3.72,20.24,129.0
1,220.0,0.08,0.7,D30,Worn,Live centre,2,0.91,4.3,1.08,5.46,81.0
2,340.0,0.08,0.7,D30,Worn,Live centre,2,3.47,17.04,4.23,22.88,149.0
3,220.0,0.12,0.7,D30,Worn,Live centre,2,1.69,9.78,2.08,10.92,87.0
4,340.0,0.12,0.7,D30,Worn,Live centre,2,3.39,15.87,3.98,17.22,152.0
5,220.0,0.08,1.2,D30,Worn,Live centre,2,2.38,14.53,3.1,26.79,121.0
6,340.0,0.08,1.2,D30,Worn,Live centre,2,6.7,32.48,8.07,34.14,395.0
7,220.0,0.12,1.2,D30,Worn,Live centre,2,2.82,14.21,3.36,16.3,146.0
8,340.0,0.12,1.2,D30,Worn,Live centre,2,4.54,22.87,5.49,27.94,148.0
9,179.09,0.1,0.95,D30,Worn,Live centre,2,3.86,18.02,4.6,20.24,173.0
10,380.91,0.1,0.95,D30,Worn,Live centre,2,4.35,19.58,5.06,23.3,218.0
11,280.0,0.07,0.95,D30,Worn,Live centre,2,2.8,13.12,3.27,13.89,141.0
12,280.0,0.13,0.95,D30,Worn,Live centre,2,1.86,11.66,2.43,14.62,79.0
13,280.0,0.1,0.53,D30,Worn,Live centre,2,2.43,12.06,2.89,12.81,122.0
14,280.0,0.1,1.37,D30,Worn,Live centre,2,3.55,19.25,4.35,22.97,144.0
15,280.0,0.1,0.95,D30,Worn,Live centre,2,2.79,14.57,3.31,16.48,122.0
16,280.0,0.1,0.95,D30,Worn,Live centre,2,2.73,15.1,3.44,27.85,100.0
17,280.0,0.1,0.95,D30,Worn,Live centre,2,3.33,17.53,4.04,25.84,120.0
1,220.0,0.08,0.7,D30,Worn,Live centre,3,0.86,4.27,1.05,5.45,72.0
2,340.0,0.08,0.7,D30,Worn,Live centre,3,3.19,15.88,3.92,16.84,128.0
3,220.0,0.12,0.7,D30,Worn,Live centre,3,1.76,9.71,2.19,10.68,101.0
4,340.0,0.12,0.7,D30,Worn,Live centre,3,3.07,15.09,3.64,16.7,136.0
5,220.0,0.08,1.2,D30,Worn,Live centre,3,2.11,12.6,2.66,14.99,107.0
6,340.0,0.08,1.2,D30,Worn,Live centre,3,6.29,33.81,7.67,37.86,337.0
7,220.0,0.12,1.2,D30,Worn,Live centre,3,3.22,17.94,3.92,21.96,136.0
8,340.0,0.12,1.2,D30,Worn,Live centre,3,6.25,29.23,7.57,43.14,262.0
9,179.09,0.1,0.95,D30,Worn,Live centre,3,3.76,20.03,4.61,21.86,138.0
10,380.91,0.1,0.95,D30,Worn,Live centre,3,3.94,18.38,4.63,22.04,154.0
11,280.0,0.07,0.95,D30,Worn,Live centre,3,3.28,15.93,3.9,18.59,195.0
12,280.0,0.13,0.95,D30,Worn,Live centre,3,1.86,10.72,2.37,11.81,97.0
13,280.0,0.1,0.53,D30,Worn,Live centre,3,2.33,12.48,2.83,14.52,134.0
14,280.0,0.1,1.37,D30,Worn,Live centre,3,3.37,16.67,4.0,20.07,128.0
15,280.0,0.1,0.95,D30,Worn,Live centre,3,3.19,16.19,3.77,19.51,122.0
16,280.0,0.1,0.95,D30,Worn,Live centre,3,2.25,10.27,2.62,11.42,97.0
17,280.0,0.1,0.95,D30,Worn,Live centre,3,3.71,18.83,4.5,22.36,129.0
1,220.0,0.08,0.7,D30,Worn,Live centre,4,0.89,4.55,1.11,7.09,70.0
2,340.0,0.08,0.7,D30,Worn,Live centre,4,3.18,16.73,3.92,24.9,149.0
3,220.0,0.12,0.7,D30,Worn,Live centre,4,2.0,10.33,2.45,11.47,113.0
4,340.0,0.12,0.7,D30,Worn,Live centre,4,3.18,15.45,3.79,16.98,145.0
5,220.0,0.08,1.2,D30,Worn,Live centre,4,2.29,13.98,2.97,21.35,101.0
6,340.0,0.08,1.2,D30,Worn,Live centre,4,8.26,39.49,9.88,43.18,464.0
7,220.0,0.12,1.2,D30,Worn,Live centre,4,3.11,16.74,3.85,24.26,154.0
8,340.0,0.12,1.2,D30,Worn,Live centre,4,5.98,26.26,7.15,32.57,254.0
9,179.09,0.1,0.95,D30,Worn,Live centre,4,3.27,16.57,3.96,23.72,193.0
10,380.91,0.1,0.95,D30,Worn,Live centre,4,4.37,19.42,5.13,22.24,179.0
11,280.0,0.07,0.95,D30,Worn,Live centre,4,2.6,13.54,3.19,17.22,138.0
12,280.0,0.13,0.95,D30,Worn,Live centre,4,1.97,11.27,2.48,13.71,96.0
13,280.0,0.1,0.53,D30,Worn,Live centre,4,2.67,13.11,3.21,15.03,128.0
14,280.0,0.1,1.37,D30,Worn,Live centre,4,3.01,16.03,3.67,18.91,108.0
15,280.0,0.1,0.95,D30,Worn,Live centre,4,3.13,14.9,3.65,17.71,124.0
16,280.0,0.1,0.95,D30,Worn,Live centre,4,2.79,15.53,3.5,21.01,97.0
17,280.0,0.1,0.95,D30,Worn,Live centre,4,3.42,17.54,4.32,29.46,118.0
1,220.0,0.08,0.7,D30,Worn,Live centre,5,0.89,4.61,1.08,5.38,69.0
2,340.0,0.08,0.7,D30,Worn,Live centre,5,3.01,15.71,3.73,21.34,127.0
3,220.0,0.12,0.7,D30,Worn,Live centre,5,1.85,10.46,2.29,12.78,106.0
4,340.0,0.12,0.7,D30,Worn,Live centre,5,3.65,17.55,4.31,20.51,153.0
5,220.0,0.08,1.2,D30,Worn,Live centre,5,2.37,12.87,2.94,16.28,114.0
6,340.0,0.08,1.2,D30,Worn,Live centre,5,7.13,33.82,8.56,36.27,418.0
7,220.0,0.12,1.2,D30,Worn,Live centre,5,2.89,14.04,3.42,18.2,128.0
8,340.0,0.12,1.2,D30,Worn,Live centre,5,5.1,23.91,6.15,29.11,155.0
9,179.09,0.1,0.95,D30,Worn,Live centre,5,3.79,20.14,4.64,26.61,163.0
10,380.91,0.1,0.95,D30,Worn,Live centre,5,4.16,18.72,4.86,19.56,179.0
11,280.0,0.07,0.95,D30,Worn,Live centre,5,2.68,12.52,3.16,14.13,126.0
12,280.0,0.13,0.95,D30,Worn,Live centre,5,1.73,10.6,2.21,12.66,96.0
13,280.0,0.1,0.53,D30,Worn,Live centre,5,2.86,14.18,3.39,16.93,132.0
14,280.0,0.1,1.37,D30,Worn,Live centre,5,3.12,15.79,3.71,20.23,137.0
15,280.0,0.1,0.95,D30,Worn,Live centre,5,2.77,15.11,3.35,17.15,101.0
16,280.0,0.1,0.95,D30,Worn,Live centre,5,3.13,18.21,3.95,23.77,102.0
17,280.0,0.1,0.95,D30,Worn,Live centre,5,3.01,16.15,3.62,20.62,113.0
1,220.0,0.08,0.7,D30,Worn,Live centre,6,0.88,4.72,1.09,7.17,76.0
2,340.0,0.08,0.7,D30,Worn,Live centre,6,3.24,15.76,3.93,17.01,147.0
3,220.0,0.12,0.7,D30,Worn,Live centre,6,1.66,9.59,2.05,10.97,98.0
4,340.0,0.12,0.7,D30,Worn,Live centre,6,3.18,15.24,3.74,16.38,167.0
5,220.0,0.08,1.2,D30,Worn,Live centre,6,2.26,13.12,2.8,14.9,108.0
6,340.0,0.08,1.2,D30,Worn,Live centre,6,6.72,32.96,8.03,36.6,364.0
7,220.0,0.12,1.2,D30,Worn,Live centre,6,3.24,17.54,4.05,27.79,131.0
8,340.0,0.12,1.2,D30,Worn,Live centre,6,4.77,23.28,5.83,27.67,152.0
9,179.09,0.1,0.95,D30,Worn,Live centre,6,4.01,20.36,4.85,24.61,155.0
10,380.91,0.1,0.95,D30,Worn,Live centre,6,4.14,19.3,4.87,22.49,183.0
11,280.0,0.07,0.95,D30,Worn,Live centre,6,2.82,13.59,3.33,16.59,138.0
12,280.0,0.13,0.95,D30,Worn,Live centre,6,1.61,10.27,2.1,11.47,96.0
13,280.0,0.1,0.53,D30,Worn,Live centre,6,2.48,12.01,2.95,13.13,126.0
14,280.0,0.1,1.37,D30,Worn,Live centre,6,3.15,16.51,3.76,19.39,120.0
15,280.0,0.1,0.95,D30,Worn,Live centre,6,2.84,14.67,3.42,16.82,105.0
16,280.0,0.1,0.95,D30,Worn,Live centre,6,2.74,15.92,3.46,24.68,95.0
17,280.0,0.1,0.95,D30,Worn,Live centre,6,3.35,17.75,4.07,22.92,125.0
1,220.0,0.08,0.7,D30,Worn,Live centre,7,0.81,3.92,0.98,4.55,63.0
2,340.0,0.08,0.7,D30,Worn,Live centre,7,2.85,14.14,3.45,15.96,130.0
3,220.0,0.12,0.7,D30,Worn,Live centre,7,1.67,9.68,2.08,10.68,110.0
4,340.0,0.12,0.7,D30,Worn,Live centre,7,3.32,15.69,3.91,16.97,156.0
5,220.0,0.08,1.2,D30,Worn,Live centre,7,2.19,12.2,2.68,15.9,117.0
6,340.0,0.08,1.2,D30,Worn,Live centre,7,8.13,38.77,9.69,44.12,464.0
7,220.0,0.12,1.2,D30,Worn,Live centre,7,3.21,17.43,3.92,23.44,144.0
8,340.0,0.12,1.2,D30,Worn,Live centre,7,5.47,26.97,6.66,33.14,231.0
9,179.09,0.1,0.95,D30,Worn,Live centre,7,3.19,18.06,4.0,22.36,125.0
10,380.91,0.1,0.95,D30,Worn,Live centre,7,4.47,20.81,5.2,24.62,227.0
11,280.0,0.07,0.95,D30,Worn,Live centre,7,2.71,14.16,3.3,15.85,142.0
12,280.0,0.13,0.95,D30,Worn,Live centre,7,2.04,12.21,2.61,14.54,88.0
13,280.0,0.1,0.53,D30,Worn,Live centre,7,2.63,13.18,3.14,14.7,121.0
14,280.0,0.1,1.37,D30,Worn,Live centre,7,3.08,14.75,3.63,16.84,134.0
15,280.0,0.1,0.95,D30,Worn,Live centre,7,3.14,15.34,3.73,18.41,123.0
16,280.0,0.1,0.95,D30,Worn,Live centre,7,3.16,18.36,3.97,28.8,128.0
17,280.0,0.1,0.95,D30,Worn,Live centre,7,3.0,15.37,3.66,23.3,123.0
1,220.0,0.08,0.7,D30,Worn,Live centre,8,0.88,4.31,1.05,6.01,77.0
2,340.0,0.08,0.7,D30,Worn,Live centre,8,3.02,15.06,3.66,16.87,128.0
3,220.0,0.12,0.7,D30,Worn,Live centre,8,1.94,10.48,2.47,15.52,86.0
4,340.0,0.12,0.7,D30,Worn,Live centre,8,3.27,15.51,3.84,18.33,147.0
5,220.0,0.08,1.2,D30,Worn,Live centre,8,2.25,11.69,2.67,14.67,159.0
6,340.0,0.08,1.2,D30,Worn,Live centre,8,6.76,35.87,8.28,38.83,450.0
7,220.0,0.12,1.2,D30,Worn,Live centre,8,3.08,15.46,3.67,20.14,141.0
8,340.0,0.12,1.2,D30,Worn,Live centre,8,5.31,23.82,6.28,29.8,185.0
9,179.09,0.1,0.95,D30,Worn,Live centre,8,3.55,18.45,4.36,21.14,129.0
10,380.91,0.1,0.95,D30,Worn,Live centre,8,4.37,19.79,5.07,21.61,203.0
11,280.0,0.07,0.95,D30,Worn,Live centre,8,2.79,13.09,3.32,14.19,130.0
12,280.0,0.13,0.95,D30,Worn,Live centre,8,1.82,11.49,2.41,14.9,99.0
13,280.0,0.1,0.53,D30,Worn,Live centre,8,2.81,13.79,3.33,15.22,123.0
14,280.0,0.1,1.37,D30,Worn,Live centre,8,3.31,16.32,3.97,18.17,132.0
15,280.0,0.1,0.95,D30,Worn,Live centre,8,3.25,17.13,3.91,18.47,116.0
16,280.0,0.1,0.95,D30,Worn,Live centre,8,2.78,14.09,3.37,23.26,99.0
17,280.0,0.1,0.95,D30,Worn,Live centre,8,3.14,15.14,3.7,16.64,127.0
1,220.0,0.08,0.7,D30,Worn,Live centre,9,0.9,4.84,1.11,5.93,69.0
2,340.0,0.08,0.7,D30,Worn,Live centre,9,3.21,15.88,3.88,17.48,130.0
3,220.0,0.12,0.7,D30,Worn,Live centre,9,1.88,10.52,2.4,11.91,90.0
4,340.0,0.12,0.7,D30,Worn,Live centre,9,3.22,15.68,3.8,17.44,143.0
5,220.0,0.08,1.2,D30,Worn,Live centre,9,2.45,16.52,3.3,26.03,120.0
6,340.0,0.08,1.2,D30,Worn,Live centre,9,6.86,37.98,8.38,41.58,409.0
7,220.0,0.12,1.2,D30,Worn,Live centre,9,2.99,15.79,3.63,23.25,122.0
8,340.0,0.12,1.2,D30,Worn,Live centre,9,5.6,28.89,7.2,39.16,186.0
9,179.09,0.1,0.95,D30,Worn,Live centre,9,4.17,20.2,4.99,29.8,153.0
10,380.91,0.1,0.95,D30,Worn,Live centre,9,3.96,18.97,4.68,23.89,160.0
11,280.0,0.07,0.95,D30,Worn,Live centre,9,3.05,15.05,3.66,17.65,132.0
12,280.0,0.13,0.95,D30,Worn,Live centre,9,1.66,10.11,2.17,12.09,108.0
13,280.0,0.1,0.53,D30,Worn,Live centre,9,2.53,13.4,13.07,15.46,137.0
14,280.0,0.1,1.37,D30,Worn,Live centre,9,3.73,18.71,4.57,29.27,134.0
15,280.0,0.1,0.95,D30,Worn,Live centre,9,3.18,16.92,3.89,22.26,105.0
16,280.0,0.1,0.95,D30,Worn,Live centre,9,2.32,10.79,2.72,12.86,98.0
17,280.0,0.1,0.95,D30,Worn,Live centre,9,3.39,16.64,4.03,21.44,125.0
1,220.0,0.08,0.7,D30,Worn,Live centre,10,0.77,4.02,0.95,5.03,60.0
2,340.0,0.08,0.7,D30,Worn,Live centre,10,3.05,15.67,3.77,20.84,121.0
3,220.0,0.12,0.7,D30,Worn,Live centre,10,1.76,9.65,2.15,12.03,108.0
4,340.0,0.12,0.7,D30,Worn,Live centre,10,3.18,14.51,3.75,15.95,143.0
5,220.0,0.08,1.2,D30,Worn,Live centre,10,2.07,12.57,2.59,17.19,107.0
6,340.0,0.08,1.2,D30,Worn,Live centre,10,8.01,38.31,9.56,41.85,453.0
7,220.0,0.12,1.2,D30,Worn,Live centre,10,3.08,14.08,3.62,16.37,143.0
8,340.0,0.12,1.2,D30,Worn,Live centre,10,6.41,29.46,7.79,37.9,158.0
9,179.09,0.1,0.95,D30,Worn,Live centre,10,3.06,14.2,3.62,17.59,137.0
10,380.91,0.1,0.95,D30,Worn,Live centre,10,4.85,21.03,5.66,22.53,178.0
11,280.0,0.07,0.95,D30,Worn,Live centre,10,2.69,12.96,3.27,14.84,122.0
12,280.0,0.13,0.95,D30,Worn,Live centre,10,1.83,10.25,2.34,11.93,85.0
13,280.0,0.1,0.53,D30,Worn,Live centre,10,2.71,12.97,3.23,15.48,134.0
14,280.0,0.1,1.37,D30,Worn,Live centre,10,3.14,14.4,3.68,17.0,130.0
15,280.0,0.1,0.95,D30,Worn,Live centre,10,3.31,15.58,3.85,17.16,135.0
16,280.0,0.1,0.95,D30,Worn,Live centre,10,3.09,19.35,4.05,23.58,102.0
17,280.0,0.1,0.95,D30,Worn,Live centre,10,3.2,16.44,3.93,27.33,120.0
1,220.0,0.08,0.7,D30,Worn,Live centre,11,0.92,4.42,1.1,5.83,75.0
2,340.0,0.08,0.7,D30,Worn,Live centre,11,3.19,16.7,4.01,24.27,120.0
3,220.0,0.12,0.7,D30,Worn,Live centre,11,1.71,9.43,2.09,11.09,101.0
4,340.0,0.12,0.7,D30,Worn,Live centre,11,3.59,16.99,4.22,17.83,160.0
5,220.0,0.08,1.2,D30,Worn,Live centre,11,2.07,11.37,2.51,13.74,147.0
6,340.0,0.08,1.2,D30,Worn,Live centre,11,6.71,33.24,8.21,35.88,407.0
7,220.0,0.12,1.2,D30,Worn,Live centre,11,3.15,16.36,3.83,19.15,125.0
8,340.0,0.12,1.2,D30,Worn,Live centre,11,5.66,26.28,6.79,30.83,175.0
9,179.09,0.1,0.95,D30,Worn,Live centre,11,4.29,23.56,5.56,37.92,144.0
10,380.91,0.1,0.95,D30,Worn,Live centre,11,4.52,20.38,5.26,22.61,178.0
11,280.0,0.07,0.95,D30,Worn,Live centre,11,2.92,13.98,3.47,16.47,139.0
12,280.0,0.13,0.95,D30,Worn,Live centre,11,1.63,10.28,2.17,11.38,91.0
13,280.0,0.1,0.53,D30,Worn,Live centre,11,2.7,12.93,3.19,14.28,129.0
14,280.0,0.1,1.37,D30,Worn,Live centre,11,3.82,21.48,4.8,27.34,123.0
15,280.0,0.1,0.95,D30,Worn,Live centre,11,3.14,16.2,3.74,18.31,120.0
16,280.0,0.1,0.95,D30,Worn,Live centre,11,2.98,14.94,3.64,23.59,105.0
17,280.0,0.1,0.95,D30,Worn,Live centre,11,2.74,13.48,3.22,15.69,112.0
1,220.0,0.08,0.7,D30,Worn,Live centre,12,0.95,4.49,1.13,6.06,75.0
2,340.0,0.08,0.7,D30,Worn,Live centre,12,3.13,14.77,3.77,15.93,140.0
3,220.0,0.12,0.7,D30,Worn,Live centre,12,1.77,10.33,2.2,11.83,109.0
4,340.0,0.12,0.7,D30,Worn,Live centre,12,3.14,14.18,3.7,16.39,165.0
5,220.0,0.08,1.2,D30,Worn,Live centre,12,2.23,11.71,2.66,12.82,118.0
6,340.0,0.08,1.2,D30,Worn,Live centre,12,6.11,31.56,7.46,33.69,358.0
7,220.0,0.12,1.2,D30,Worn,Live centre,12,3.14,17.09,3.93,23.43,138.0
8,340.0,0.12,1.2,D30,Worn,Live centre,12,5.78,31.39,7.44,39.27,189.0
9,179.09,0.1,0.95,D30,Worn,Live centre,12,3.28,15.11,3.89,16.8,146.0
10,380.91,0.1,0.95,D30,Worn,Live centre,12,4.56,21.44,5.37,27.82,162.0
11,280.0,0.07,0.95,D30,Worn,Live centre,12,3.02,14.45,3.58,16.1,121.0
12,280.0,0.13,0.95,D30,Worn,Live centre,12,1.71,10.68,2.29,11.54,91.0
13,280.0,0.1,0.53,D30,Worn,Live centre,12,2.56,13.22,3.09,14.26,107.0
14,280.0,0.1,1.37,D30,Worn,Live centre,12,3.63,18.88,4.33,21.79,162.0
15,280.0,0.1,0.95,D30,Worn,Live centre,12,3.32,16.9,3.99,18.68,136.0
16,280.0,0.1,0.95,D30,Worn,Live centre,12,2.51,13.75,3.05,21.23,93.0
17,280.0,0.1,0.95,D30,Worn,Live centre,12,2.99,13.92,3.52,15.03,123.0
1,220.0,0.08,0.7,D30,Worn,Middle,13,0.69,3.59,0.84,5.11,54.0
2,340.0,0.08,0.7,D30,Worn,Middle,13,1.63,8.39,1.95,9.83,87.0
3,220.0,0.12,0.7,D30,Worn,Middle,13,1.74,9.61,2.24,10.51,80.0
4,340.0,0.12,0.7,D30,Worn,Middle,13,1.85,9.39,2.33,10.04,94.0
5,220.0,0.08,1.2,D30,Worn,Middle,13,1.16,7.56,1.47,10.76,57.0
6,340.0,0.08,1.2,D30,Worn,Middle,13,3.18,16.43,3.92,17.49,115.0
7,220.0,0.12,1.2,D30,Worn,Middle,13,2.73,14.85,3.43,31.53,103.0
8,340.0,0.12,1.2,D30,Worn,Middle,13,3.34,19.14,4.2,24.25,129.0
9,179.09,0.1,0.95,D30,Worn,Middle,13,1.95,10.8,2.34,13.38,107.0
10,380.91,0.1,0.95,D30,Worn,Middle,13,2.45,13.19,2.96,14.08,101.0
11,280.0,0.07,0.95,D30,Worn,Middle,13,1.53,9.09,1.95,14.73,123.0
12,280.0,0.13,0.95,D30,Worn,Middle,13,1.73,10.48,2.28,11.98,85.0
13,280.0,0.1,0.53,D30,Worn,Middle,13,1.52,7.41,1.78,8.43,87.0
14,280.0,0.1,1.37,D30,Worn,Middle,13,2.56,14.04,3.15,19.35,101.0
15,280.0,0.1,0.95,D30,Worn,Middle,13,2.94,14.92,3.5,18.43,124.0
16,280.0,0.1,0.95,D30,Worn,Middle,13,3.97,23.05,5.13,34.09,140.0
17,280.0,0.1,0.95,D30,Worn,Middle,13,2.88,14.78,3.49,17.2,106.0
1,220.0,0.08,0.7,D30,Worn,Middle,14,0.72,3.54,0.87,4.18,53.0
2,340.0,0.08,0.7,D30,Worn,Middle,14,2.06,12.11,2.5,16.5,152.0
3,220.0,0.12,0.7,D30,Worn,Middle,14,1.72,9.16,2.2,10.15,84.0
4,340.0,0.12,0.7,D30,Worn,Middle,14,1.9,9.54,2.36,10.7,92.0
5,220.0,0.08,1.2,D30,Worn,Middle,14,1.37,9.87,1.75,13.44,71.0
6,340.0,0.08,1.2,D30,Worn,Middle,14,3.26,18.07,4.09,21.53,137.0
7,220.0,0.12,1.2,D30,Worn,Middle,14,1.89,10.18,2.37,11.03,86.0
8,340.0,0.12,1.2,D30,Worn,Middle,14,2.7,15.07,3.36,23.8,107.0
9,179.09,0.1,0.95,D30,Worn,Middle,14,2.02,10.89,2.46,14.66,107.0
10,380.91,0.1,0.95,D30,Worn,Middle,14,2.26,13.06,2.78,14.99,93.0
11,280.0,0.07,0.95,D30,Worn,Middle,14,1.19,6.61,1.44,8.3,113.0
12,280.0,0.13,0.95,D30,Worn,Middle,14,1.69,10.17,2.26,11.25,77.0
13,280.0,0.1,0.53,D30,Worn,Middle,14,1.63,8.25,1.93,10.92,95.0
14,280.0,0.1,1.37,D30,Worn,Middle,14,2.73,17.2,3.59,25.95,92.0
15,280.0,0.1,0.95,D30,Worn,Middle,14,3.07,16.4,3.86,29.86,122.0
16,280.0,0.1,0.95,D30,Worn,Middle,14,2.88,14.22,3.44,18.54,108.0
17,280.0,0.1,0.95,D30,Worn,Middle,14,2.79,14.45,3.37,18.77,105.0
1,220.0,0.08,0.7,D30,Worn,Middle,15,0.8,3.77,1.0,4.11,54.0
2,340.0,0.08,0.7,D30,Worn,Middle,15,2.01,11.97,2.48,14.62,151.0
3,220.0,0.12,0.7,D30,Worn,Middle,15,1.66,9.09,2.15,10.15,90.0
4,340.0,0.12,0.7,D30,Worn,Middle,15,1.91,9.73,2.39,10.78,97.0
5,220.0,0.08,1.2,D30,Worn,Middle,15,1.25,7.86,1.55,10.04,70.0
6,340.0,0.08,1.2,D30,Worn,Middle,15,2.84,15.1,3.5,17.67,113.0
7,220.0,0.12,1.2,D30,Worn,Middle,15,1.92,10.55,2.44,12.83,92.0
8,340.0,0.12,1.2,D30,Worn,Middle,15,2.33,12.58,2.81,14.72,110.0
9,179.09,0.1,0.95,D30,Worn,Middle,15,1.71,11.66,2.21,14.72,64.0
10,380.91,0.1,0.95,D30,Worn,Middle,15,2.44,14.29,2.98,19.45,98.0
11,280.0,0.07,0.95,D30,Worn,Middle,15,0.89,4.95,1.08,5.57,71.0
12,280.0,0.13,0.95,D30,Worn,Middle,15,1.76,10.3,2.35,10.94,96.0
13,280.0,0.1,0.53,D30,Worn,Middle,15,1.66,7.43,1.92,8.58,94.0
14,280.0,0.1,1.37,D30,Worn,Middle,15,2.59,13.88,3.17,20.08,94.0
15,280.0,0.1,0.95,D30,Worn,Middle,15,2.63,13.15,3.12,13.81,106.0
16,280.0,0.1,0.95,D30,Worn,Middle,15,2.49,13.2,3.07,20.19,99.0
17,280.0,0.1,0.95,D30,Worn,Middle,15,3.55,20.28,4.58,34.01,114.0
1,220.0,0.08,0.7,D30,Worn,Middle,16,0.69,3.69,0.84,5.44,55.0
2,340.0,0.08,0.7,D30,Worn,Middle,16,1.61,9.74,1.95,12.58,96.0
3,220.0,0.12,0.7,D30,Worn,Middle,16,1.75,9.42,2.25,10.36,85.0
4,340.0,0.12,0.7,D30,Worn,Middle,16,1.88,9.8,2.37,10.43,101.0
5,220.0,0.08,1.2,D30,Worn,Middle,16,1.35,8.41,1.67,10.02,70.0
6,340.0,0.08,1.2,D30,Worn,Middle,16,3.54,16.77,4.32,18.42,129.0
7,220.0,0.12,1.2,D30,Worn,Middle,16,1.91,10.79,2.37,13.25,77.0
8,340.0,0.12,1.2,D30,Worn,Middle,16,3.95,25.7,5.42,32.12,120.0
9,179.09,0.1,0.95,D30,Worn,Middle,16,1.93,11.99,2.38,15.53,106.0
10,380.91,0.1,0.95,D30,Worn,Middle,16,2.24,11.56,2.75,12.38,85.0
11,280.0,0.07,0.95,D30,Worn,Middle,16,1.16,7.18,1.49,12.75,76.0
12,280.0,0.13,0.95,D30,Worn,Middle,16,1.75,10.56,2.34,11.64,83.0
13,280.0,0.1,0.53,D30,Worn,Middle,16,1.61,8.14,1.92,9.24,83.0
14,280.0,0.1,1.37,D30,Worn,Middle,16,2.99,16.23,3.77,20.7,101.0
15,280.0,0.1,0.95,D30,Worn,Middle,16,2.85,15.92,3.47,22.73,106.0
16,280.0,0.1,0.95,D30,Worn,Middle,16,3.12,17.7,3.85,22.83,108.0
17,280.0,0.1,0.95,D30,Worn,Middle,16,2.89,14.7,3.51,15.73,120.0
1,220.0,0.08,0.7,D30,Worn,Middle,17,0.7,3.99,0.86,4.37,60.0
2,340.0,0.08,0.7,D30,Worn,Middle,17,1.78,9.71,2.16,13.06,88.0
3,220.0,0.12,0.7,D30,Worn,Middle,17,1.93,10.34,2.43,11.15,97.0
4,340.0,0.12,0.7,D30,Worn,Middle,17,1.84,9.5,2.32,10.11,91.0
5,220.0,0.08,1.2,D30,Worn,Middle,17,1.49,9.98,1.91,13.08,70.0
6,340.0,0.08,1.2,D30,Worn,Middle,17,3.32,17.56,4.14,20.0,183.0
7,220.0,0.12,1.2,D30,Worn,Middle,17,1.75,10.04,2.22,11.04,71.0
8,340.0,0.12,1.2,D30,Worn,Middle,17,3.04,17.4,3.77,22.85,134.0
9,179.09,0.1,0.95,D30,Worn,Middle,17,1.88,10.73,2.3,12.08,86.0
10,380.91,0.1,0.95,D30,Worn,Middle,17,2.3,12.61,2.86,13.62,98.0
11,280.0,0.07,0.95,D30,Worn,Middle,17,1.09,8.29,1.47,12.12,75.0
12,280.0,0.13,0.95,D30,Worn,Middle,17,1.86,10.73,2.43,12.6,96.0
13,280.0,0.1,0.53,D30,Worn,Middle,17,1.41,6.81,1.66,7.91,87.0
14,280.0,0.1,1.37,D30,Worn,Middle,17,2.91,16.21,3.69,24.91,99.0
