Number,Vc,f,d,Ï•,VB,P,Replicate,Ra,Rz,Rq,Rt,Sm
10,380.91,0.1,0.95,D30,New,Live centre,7,5.61,21.03,6.33,22.93,296.0
11,280.0,0.07,0.95,D30,New,Live centre,7,3.95,18.75,4.77,21.06,205.0
12,280.0,0.13,0.95,D30,New,Live centre,7,3.38,14.83,3.92,18.32,220.0
13,280.0,0.1,0.53,D30,New,Live centre,7,1.3,6.83,1.58,8.45,130.0
14,280.0,0.1,1.37,D30,New,Live centre,7,5.0,23.02,5.94,25.4,279.0
15,280.0,0.1,0.95,D30,New,Live centre,7,6.23,27.31,7.39,29.35,317.0
16,280.0,0.1,0.95,D30,New,Live centre,7,6.31,27.42,7.49,28.79,326.0
17,280.0,0.1,0.95,D30,New,Live centre,7,6.09,26.39,7.31,28.22,321.0
1,220.0,0.08,0.7,D30,New,Live centre,8,3.9,19.16,4.66,21.89,224.0
2,340.0,0.08,0.7,D30,New,Live centre,8,3.62,15.92,4.28,19.03,207.0
3,220.0,0.12,0.7,D30,New,Live centre,8,3.22,14.12,3.87,15.16,146.0
4,340.0,0.12,0.7,D30,New,Live centre,8,1.72,9.42,2.13,11.47,123.0
5,220.0,0.08,1.2,D30,New,Live centre,8,9.46,39.12,11.19,41.52,466.0
6,340.0,0.08,1.2,D30,New,Live centre,8,4.14,17.47,4.91,19.2,211.0
7,220.0,0.12,1.2,D30,New,Live centre,8,1.86,9.43,2.28,11.24,144.0
8,340.0,0.12,1.2,D30,New,Live centre,8,2.77,13.3,3.32,16.07,168.0
9,179.09,0.1,0.95,D30,New,Live centre,8,4.77,21.15,5.66,23.36,245.0
10,380.91,0.1,0.95,D30,New,Live centre,8,5.98,23.3,6.79,25.01,297.0
11,280.0,0.07,0.95,D30,New,Live centre,8,4.06,18.75,4.83,19.73,226.0
12,280.0,0.13,0.95,D30,New,Live centre,8,3.47,15.43,4.04,17.95,203.0
13,280.0,0.1,0.53,D30,New,Live centre,8,1.15,6.56,1.42,7.34,97.0
14,280.0,0.1,1.37,D30,New,Live centre,8,5.27,23.94,6.3,25.5,252.0
15,280.0,0.1,0.95,D30,New,Live centre,8,6.81,28.35,7.96,30.1,344.0
16,280.0,0.1,0.95,D30,New,Live centre,8,6.13,26.95,7.24,28.66,304.0
17,280.0,0.1,0.95,D30,New,Live centre,8,5.82,25.86,7.06,27.82,393.0
1,220.0,0.08,0.7,D30,New,Live centre,9,3.58,17.21,4.26,18.66,215.0
2,340.0,0.08,0.7,D30,New,Live centre,9,3.68,16.06,4.35,19.32,193.0
3,220.0,0.12,0.7,D30,New,Live centre,9,3.03,12.4,3.45,13.96,197.0
4,340.0,0.12,0.7,D30,New,Live centre,9,1.55,7.54,1.85,8.58,123.0
5,220.0,0.08,1.2,D30,New,Live centre,9,9.75,39.83,11.5,42.16,476.0
6,340.0,0.08,1.2,D30,New,Live centre,9,4.21,17.42,4.97,19.78,202.0
7,220.0,0.12,1.2,D30,New,Live centre,9,1.96,9.62,2.35,12.04,125.0
8,340.0,0.12,1.2,D30,New,Live centre,9,4.8,21.3,5.7,25.5,266.0
9,179.09,0.1,0.95,D30,New,Live centre,9,4.82,20.25,5.66,22.87,249.0
10,380.91,0.1,0.95,D30,New,Live centre,9,3.74,16.87,4.44,18.91,247.0
11,280.0,0.07,0.95,D30,New,Live centre,9,4.18,18.7,5.0,20.07,216.0
12,280.0,0.13,0.95,D30,New,Live centre,9,3.71,16.0,4.24,19.55,257.0
13,280.0,0.1,0.53,D30,New,Live centre,9,1.37,7.64,1.66,9.19,114.0
14,280.0,0.1,1.37,D30,New,Live centre,9,5.05,23.37,5.97,26.05,292.0
15,280.0,0.1,0.95,D30,New,Live centre,9,6.81,28.38,7.97,31.12,347.0
16,280.0,0.1,0.95,D30,New,Live centre,9,6.37,27.25,7.49,29.55,333.0
17,280.0,0.1,0.95,D30,New,Live centre,9,5.73,25.26,6.91,26.95,268.0
1,220.0,0.08,0.7,D30,New,Live centre,10,3.76,17.37,4.49,18.76,203.0
2,340.0,0.08,0.7,D30,New,Live centre,10,4.04,16.84,4.73,18.71,228.0
3,220.0,0.12,0.7,D30,New,Live centre,10,4.74,17.23,5.31,20.02,338.0
4,340.0,0.12,0.7,D30,New,Live centre,10,1.48,6.79,1.75,8.22,117.0
5,220.0,0.08,1.2,D30,New,Live centre,10,9.45,39.8,11.25,42.99,464.0
6,340.0,0.08,1.2,D30,New,Live centre,10,4.06,17.93,4.82,18.73,235.0
7,220.0,0.12,1.2,D30,New,Live centre,10,1.84,9.88,2.25,11.41,130.0
8,340.0,0.12,1.2,D30,New,Live centre,10,3.17,13.93,3.75,21.22,176.0
9,179.09,0.1,0.95,D30,New,Live centre,10,4.78,21.33,5.67,24.22,247.0
10,380.91,0.1,0.95,D30,New,Live centre,10,5.71,20.66,6.43,22.43,296.0
11,280.0,0.07,0.95,D30,New,Live centre,10,4.25,19.54,5.05,20.98,228.0
12,280.0,0.13,0.95,D30,New,Live centre,10,3.39,14.97,3.99,18.69,224.0
13,280.0,0.1,0.53,D30,New,Live centre,10,1.23,6.59,1.49,7.76,110.0
14,280.0,0.1,1.37,D30,New,Live centre,10,5.14,22.45,6.04,24.23,264.0
15,280.0,0.1,0.95,D30,New,Live centre,10,6.53,27.54,7.67,29.41,381.0
16,280.0,0.1,0.95,D30,New,Live centre,10,6.05,27.44,7.23,28.55,281.0
17,280.0,0.1,0.95,D30,New,Live centre,10,5.45,24.32,6.53,28.14,391.0
1,220.0,0.08,0.7,D30,New,Live centre,11,3.76,18.58,4.51,20.95,211.0
2,340.0,0.08,0.7,D30,New,Live centre,11,4.1,17.16,4.82,18.28,229.0
3,220.0,0.12,0.7,D30,New,Live centre,11,3.1,13.44,3.65,15.53,219.0
4,340.0,0.12,0.7,D30,New,Live centre,11,1.62,7.5,1.94,8.85,132.0
5,220.0,0.08,1.2,D30,New,Live centre,11,9.41,38.95,11.18,43.78,446.0
6,340.0,0.08,1.2,D30,New,Live centre,11,4.2,17.54,4.92,18.8,229.0
7,220.0,0.12,1.2,D30,New,Live centre,11,1.93,9.02,2.3,12.34,140.0
8,340.0,0.12,1.2,D30,New,Live centre,11,3.31,15.19,3.94,21.71,194.0
9,179.09,0.1,0.95,D30,New,Live centre,11,4.7,20.45,5.53,23.37,259.0
10,380.91,0.1,0.95,D30,New,Live centre,11,6.07,22.44,6.92,23.44,296.0
11,280.0,0.07,0.95,D30,New,Live centre,11,4.12,18.67,4.92,20.83,247.0
12,280.0,0.13,0.95,D30,New,Live centre,11,3.73,16.61,4.42,20.34,180.0
13,280.0,0.1,0.53,D30,New,Live centre,11,1.32,7.81,1.65,11.03,118.0
14,280.0,0.1,1.37,D30,New,Live centre,11,5.34,23.93,6.34,25.87,280.0
15,280.0,0.1,0.95,D30,New,Live centre,11,6.68,27.82,7.82,30.74,309.0
16,280.0,0.1,0.95,D30,New,Live centre,11,6.23,26.82,7.36,29.64,324.0
17,280.0,0.1,0.95,D30,New,Live centre,11,5.56,24.88,6.72,26.44,389.0
1,220.0,0.08,0.7,D30,New,Live centre,12,3.93,18.42,4.63,19.17,225.0
2,340.0,0.08,0.7,D30,New,Live centre,12,4.12,17.15,4.83,18.18,216.0
3,220.0,0.12,0.7,D30,New,Live centre,12,2.88,13.31,3.41,14.62,170.0
4,340.0,0.12,0.7,D30,New,Live centre,12,1.51,7.28,1.79,8.23,117.0
5,220.0,0.08,1.2,D30,New,Live centre,12,10.48,41.1,12.25,42.12,465.0
6,340.0,0.08,1.2,D30,New,Live centre,12,4.01,17.43,4.78,18.77,198.0
7,220.0,0.12,1.2,D30,New,Live centre,12,1.95,9.63,2.36,12.86,140.0
8,340.0,0.12,1.2,D30,New,Live centre,12,4.49,19.36,5.32,22.3,267.0
9,179.09,0.1,0.95,D30,New,Live centre,12,4.97,20.29,5.78,23.1,278.0
