Number,Vc,f,ap,Stiffness,Wear,Position,Block,Ra,Ry,Rz,Rq,Rt,Sm
7,220.00,0.12,1.20,D30,New,Centre,Run 7,1.88,11.53,9.66,2.28,11.53,141.00
8,340.00,0.12,1.20,D30,New,Centre,Run 7,3.49,23.13,15.13,4.11,23.13,202.00
9,179.09,0.10,0.95,D30,New,Centre,Run 7,4.63,23.72,20.50,5.54,23.72,227.00
10,380.91,0.10,0.95,D30,New,Centre,Run 7,5.61,21.81,21.03,6.33,22.93,296.00
11,280.00,0.07,0.95,D30,New,Centre,Run 7,3.95,20.51,18.75,4.77,21.06,205.00
12,280.00,0.13,0.95,D30,New,Centre,Run 7,3.38,18.10,14.83,3.92,18.32,220.00
13,280.00,0.10,0.53,D30,New,Centre,Run 7,1.30,8.06,6.83,1.58,8.45,130.00
14,280.00,0.10,1.37,D30,New,Centre,Run 7,5.00,23.92,23.02,5.94,25.40,279.00
15,280.00,0.10,0.95,D30,New,Centre,Run 7,6.23,29.20,27.31,7.39,29.35,317.00
16,280.00,0.10,0.95,D30,New,Centre,Run 7,6.31,28.79,27.42,7.49,28.79,326.00
17,280.00,0.10,0.95,D30,New,Centre,Run 7,6.09,27.70,26.39,7.31,28.22,321.00
1,220.00,0.08,0.70,D30,New,Centre,Run 8,3.90,21.87,19.16,4.66,21.89,224.00
2,340.00,0.08,0.70,D30,New,Centre,Run 8,3.62,19.93,15.92,4.28,19.03,207.00
3,220.00,0.12,0.70,D30,New,Centre,Run 8,3.22,15.01,14.12,3.87,15.16,146.00
4,340.00,0.12,0.70,D30,New,Centre,Run 8,1.72,10.46,9.42,2.13,11.47,123.00
5,220.00,0.08,1.20,D30,New,Centre,Run 8,9.46,41.12,39.12,11.19,41.52,466.00
6,340.00,0.08,1.20,D30,New,Centre,Run 8,4.14,19.06,17.47,4.91,19.20,211.00
7,220.00,0.12,1.20,D30,New,Centre,Run 8,1.86,10.55,9.43,2.28,11.24,144.00
8,340.00,0.12,1.20,D30,New,Centre,Run 8,2.77,16.07,13.30,3.32,16.07,168.00
9,179.09,0.10,0.95,D30,New,Centre,Run 8,4.77,22.11,21.15,5.66,23.36,245.00
10,380.91,0.10,0.95,D30,New,Centre,Run 8,5.98,24.60,23.30,6.79,25.01,297.00
11,280.00,0.07,0.95,D30,New,Centre,Run 8,4.06,18.82,18.75,4.83,19.73,226.00
12,280.00,0.13,0.95,D30,New,Centre,Run 8,3.47,17.67,15.43,4.04,17.95,203.00
13,280.00,0.10,0.53,D30,New,Centre,Run 8,1.15,7.28,6.56,1.42,7.34,97.00
14,280.00,0.10,1.37,D30,New,Centre,Run 8,5.27,25.45,23.94,6.30,25.50,252.00
15,280.00,0.10,0.95,D30,New,Centre,Run 8,6.81,30.10,28.35,7.96,30.10,344.00
16,280.00,0.10,0.95,D30,New,Centre,Run 8,6.13,28.64,26.95,7.24,28.66,304.00
17,280.00,0.10,0.95,D30,New,Centre,Run 8,5.82,27.58,25.86,7.06,27.82,393.00
1,220.00,0.08,0.70,D30,New,Centre,Run 9,3.58,18.09,17.21,4.26,18.66,215.00
