Number,Vc,f,ap,Stiffness,Wear,Position,Block,Ra,Ry,Rz,Rq,Rt,Sm
7,220.00,0.12,1.20,D30,Worn,Chuck,Run 36,1.79,12.79,11.54,2.32,13.87,70.00
8,340.00,0.12,1.20,D30,Worn,Chuck,Run 36,1.81,10.55,10.31,2.32,11.24,67.00
9,179.09,0.10,0.95,D30,Worn,Chuck,Run 36,1.50,12.86,10.48,1.93,13.89,68.00
10,380.91,0.10,0.95,D30,Worn,Chuck,Run 36,1.15,11.81,8.95,1.55,12.02,72.00
11,280.00,0.07,0.95,D30,Worn,Chuck,Run 36,0.69,5.39,4.28,0.86,5.84,66.00
12,280.00,0.13,0.95,D30,Worn,Chuck,Run 36,1.66,10.43,9.80,2.18,11.27,83.00
13,280.00,0.10,0.53,D30,Worn,Chuck,Run 36,1.71,9.06,7.36,1.93,9.78,99.00
14,280.00,0.10,1.37,D30,Worn,Chuck,Run 36,2.70,21.16,15.74,3.39,22.04,92.00
15,280.00,0.10,0.95,D30,Worn,Chuck,Run 36,1.92,9.61,9.28,2.24,9.97,89.00
16,280.00,0.10,0.95,D30,Worn,Chuck,Run 36,1.88,20.59,11.30,2.37,20.59,82.00
17,280.00,0.10,0.95,D30,Worn,Chuck,Run 36,1.89,10.60,8.94,2.19,11.16,89.00
1,220.00,0.08,0.70,D50,New,Centre,Run 1,0.80,5.87,3.88,0.98,6.50,86.00
2,340.00,0.08,0.70,D50,New,Centre,Run 1,0.78,3.96,3.47,0.93,4.08,81.00
3,220.00,0.12,0.70,D50,New,Centre,Run 1,1.16,5.87,5.02,1.35,6.35,101.00
4,340.00,0.12,0.70,D50,New,Centre,Run 1,1.15,6.59,5.45,1.35,6.59,87.00
5,220.00,0.08,1.20,D50,New,Centre,Run 1,1.15,6.84,5.25,1.37,6.84,68.00
6,340.00,0.08,1.20,D50,New,Centre,Run 1,1.07,5.99,5.31,1.32,6.81,51.00
7,220.00,0.12,1.20,D50,New,Centre,Run 1,1.62,8.64,7.04,1.94,8.81,114.00
8,340.00,0.12,1.20,D50,New,Centre,Run 1,1.54,6.86,6.52,1.83,7.08,116.00
9,179.09,0.10,0.95,D50,New,Centre,Run 1,1.37,10.69,6.99,1.77,10.92,73.00
10,380.91,0.10,0.95,D50,New,Centre,Run 1,0.88,4.81,4.39,1.09,4.93,75.00
11,280.00,0.07,0.95,D50,New,Centre,Run 1,1.51,7.93,6.47,1.79,8.35,61.00
12,280.00,0.13,0.95,D50,New,Centre,Run 1,1.45,11.33,6.89,1.77,11.33,120.00
13,280.00,0.10,0.53,D50,New,Centre,Run 1,1.14,5.52,4.94,1.36,5.94,98.00
14,280.00,0.10,1.37,D50,New,Centre,Run 1,1.64,8.51,7.12,2.01,8.73,98.00
15,280.00,0.10,0.95,D50,New,Centre,Run 1,1.14,5.34,5.05,1.39,5.34,46.00
16,280.00,0.10,0.95,D50,New,Centre,Run 1,1.06,5.04,4.87,1.28,5.16,71.00
17,280.00,0.10,0.95,D50,New,Centre,Run 1,1.06,9.13,5.79,1.34,9.13,71.00
1,220.00,0.08,0.70,D50,New,Centre,Run 2,0.75,6.26,3.63,0.92,6.41,76.00
2,340.00,0.08,0.70,D50,New,Centre,Run 2,0.66,3.37,3.12,0.80,3.53,80.00
3,220.00,0.12,0.70,D50,New,Centre,Run 2,1.06,6.08,5.01,1.24,6.12,98.00
4,340.00,0.12,0.70,D50,New,Centre,Run 2,1.10,5.39,5.15,1.30,5.86,92.00
5,220.00,0.08,1.20,D50,New,Centre,Run 2,1.07,5.91,5.00,1.30,5.91,107.00
6,340.00,0.08,1.20,D50,New,Centre,Run 2,1.16,6.58,5.40,1.36,6.58,82.00
7,220.00,0.12,1.20,D50,New,Centre,Run 2,1.54,7.19,6.63,1.81,7.34,125.00
8,340.00,0.12,1.20,D50,New,Centre,Run 2,1.50,7.12,6.50,1.79,7.21,124.00
9,179.09,0.10,0.95,D50,New,Centre,Run 2,1.24,8.09,5.91,1.52,8.09,86.00
10,380.91,0.10,0.95,D50,New,Centre,Run 2,0.97,7.70,4.88,1.19,7.70,80.00
11,280.00,0.07,0.95,D50,New,Centre,Run 2,1.55,10.50,6.92,1.84,10.50,75.00
12,280.00,0.13,0.95,D50,New,Centre,Run 2,1.39,7.27,6.11,1.68,7.27,126.00
13,280.00,0.10,0.53,D50,New,Centre,Run 2,1.10,5.39,4.94,1.31,5.39,103.00
14,280.00,0.10,1.37,D50,New,Centre,Run 2,1.32,7.36,6.10,1.59,7.36,93.00
15,280.00,0.10,0.95,D50,New,Centre,Run 2,1.21,5.93,5.36,1.47,6.09,50.00
16,280.00,0.10,0.95,D50,New,Centre,Run 2,1.14,5.85,5.06,1.39,5.85,69.00
17,280.00,0.10,0.95,D50,New,Centre,Run 2,0.90,5.48,4.53,1.12,5.48,85.00
1,220.00,0.08,0.70,D50,New,Centre,Run 3,0.75,4.39,3.38,0.88,4.39,80.00
2,340.00,0.08,0.70,D50,New,Centre,Run 3,0.79,4.48,3.83,0.95,4.48,67.00
3,220.00,0.12,0.70,D50,New,Centre,Run 3,1.20,7.29,5.71,1.44,7.29,105.00
4,340.00,0.12,0.70,D50,New,Centre,Run 3,1.17,8.96,5.78,1.41,8.96,95.00
5,220.00,0.08,1.20,D50,New,Centre,Run 3,1.15,6.94,5.38,1.38,7.09,110.00
6,340.00,0.08,1.20,D50,New,Centre,Run 3,1.02,5.70,4.98,1.23,5.92,74.00
7,220.00,0.12,1.20,D50,New,Centre,Run 3,1.62,7.39,6.65,1.92,7.74,127.00
8,340.00,0.12,1.20,D50,New,Centre,Run 3,1.51,6.80,6.43,1.79,6.80,125.00
9,179.09,0.10,0.95,D50,New,Centre,Run 3,1.46,10.76,8.31,1.93,10.76,74.00
10,380.91,0.10,0.95,D50,New,Centre,Run 3,0.96,6.25,4.86,1.19,6.25,76.00
11,280.00,0.07,0.95,D50,New,Centre,Run 3,1.69,13.97,7.25,2.02,13.97,74.00
12,280.00,0.13,0.95,D50,New,Centre,Run 3,1.43,6.62,6.32,1.74,6.77,128.00
13,280.00,0.10,0.53,D50,New,Centre,Run 3,1.27,7.54,5.67,1.51,7.54,101.00
14,280.00,0.10,1.37,D50,New,Centre,Run 3,1.70,16.90,8.36,2.11,16.90,112.00
15,280.00,0.10,0.95,D50,New,Centre,Run 3,1.21,5.66,5.39,1.46,5.96,49.00
16,280.00,0.10,0.95,D50,New,Centre,Run 3,1.21,9.29,5.92,1.48,9.29,63.00
17,280.00,0.10,0.95,D50,New,Centre,Run 3,0.92,5.35,4.76,1.15,5.36,68.00
1,220.00,0.08,0.70,D50,New,Centre,Run 4,0.77,7.46,4.04,0.96,7.46,71.00
2,340.00,0.08,0.70,D50,New,Centre,Run 4,0.72,3.78,3.52,0.88,3.89,65.00
3,220.00,0.12,0.70,D50,New,Centre,Run 4,1.00,5.22,4.42,1.15,5.22,95.00
4,340.00,0.12,0.70,D50,New,Centre,Run 4,1.14,5.55,5.31,1.34,5.83,110.00
5,220.00,0.08,1.20,D50,New,Centre,Run 4,1.26,7.46,5.94,1.51,7.46,72.00
6,340.00,0.08,1.20,D50,New,Centre,Run 4,0.98,6.03,5.15,1.21,6.03,53.00
7,220.00,0.12,1.20,D50,New,Centre,Run 4,1.61,8.08,6.60,1.89,8.08,131.00
8,340.00,0.12,1.20,D50,New,Centre,Run 4,1.48,6.53,6.28,1.77,6.72,115.00
9,179.09,0.10,0.95,D50,New,Centre,Run 4,1.62,13.38,8.36,2.07,13.38,79.00
10,380.91,0.10,0.95,D50,New,Centre,Run 4,0.91,5.49,4.35,1.10,5.58,74.00
11,280.00,0.07,0.95,D50,New,Centre,Run 4,1.53,7.62,6.98,1.79,7.62,77.00
12,280.00,0.13,0.95,D50,New,Centre,Run 4,1.30,6.49,6.01,1.59,6.49,129.00
13,280.00,0.10,0.53,D50,New,Centre,Run 4,1.07,4.65,4.32,1.24,4.72,100.00
14,280.00,0.10,1.37,D50,New,Centre,Run 4,1.60,8.87,6.68,1.88,8.87,106.00
15,280.00,0.10,0.95,D50,New,Centre,Run 4,1.34,6.40,5.52,1.57,7.41,73.00
16,280.00,0.10,0.95,D50,New,Centre,Run 4,1.18,8.33,5.80,1.44,8.75,78.00
17,280.00,0.10,0.95,D50,New,Centre,Run 4,0.92,4.92,4.75,1.15,5.05,94.00
1,220.00,0.08,0.70,D50,New,Centre,Run 5,0.72,7.68,3.77,0.87,7.68,74.00
2,340.00,0.08,0.70,D50,New,Centre,Run 5,0.72,3.60,3.44,0.86,3.67,68.00
3,220.00,0.12,0.70,D50,New,Centre,Run 5,1.07,7.99,5.20,1.27,7.99,96.00
4,340.00,0.12,0.70,D50,New,Centre,Run 5,1.03,5.13,4.98,1.23,5.16,85.00
5,220.00,0.08,1.20,D50,New,Centre,Run 5,1.06,5.60,5.21,1.28,5.78,74.00
6,340.00,0.08,1.20,D50,New,Centre,Run 5,1.05,8.53,5.43,1.29,8.53,65.00
7,220.00,0.12,1.20,D50,New,Centre,Run 5,1.50,7.22,6.55,1.79,7.37,122.00
8,340.00,0.12,1.20,D50,New,Centre,Run 5,1.57,7.37,6.70,1.86,7.51,118.00
9,179.09,0.10,0.95,D50,New,Centre,Run 5,1.11,10.33,6.75,1.47,10.33,74.00
10,380.91,0.10,0.95,D50,New,Centre,Run 5,1.12,8.89,5.62,1.37,8.89,79.00
11,280.00,0.07,0.95,D50,New,Centre,Run 5,1.54,8.15,6.89,1.81,8.15,80.00
12,280.00,0.13,0.95,D50,New,Centre,Run 5,1.48,10.32,6.82,1.80,10.32,129.00
13,280.00,0.10,0.53,D50,New,Centre,Run 5,1.17,5.90,5.06,1.37,5.91,99.00
14,280.00,0.10,1.37,D50,New,Centre,Run 5,1.20,7.63,5.86,1.48,7.87,93.00
15,280.00,0.10,0.95,D50,New,Centre,Run 5,1.17,5.64,5.20,1.41,5.73,50.00
16,280.00,0.10,0.95,D50,New,Centre,Run 5,1.13,7.26,5.28,1.35,7.26,75.00
17,280.00,0.10,0.95,D50,New,Centre,Run 5,0.97,6.49,4.95,1.20,6.49,85.00
1,220.00,0.08,0.70,D50,New,Centre,Run 6,0.71,4.67,3.62,0.86,4.85,79.00
2,340.00,0.08,0.70,D50,New,Centre,Run 6,0.73,4.06,3.51,0.88,4.06,67.00
3,220.00,0.12,0.70,D50,New,Centre,Run 6,1.06,5.45,4.82,1.22,5.47,93.82
4,340.00,0.12,0.70,D50,New,Centre,Run 6,1.16,5.97,5.40,1.38,6.17,99.00
5,220.00,0.08,1.20,D50,New,Centre,Run 6,1.15,6.91,5.61,1.37,6.91,79.00
6,340.00,0.08,1.20,D50,New,Centre,Run 6,0.95,5.60,4.75,1.16,6.20,57.00
7,220.00,0.12,1.20,D50,New,Centre,Run 6,1.55,7.70,6.89,1.84,8.28,115.00
8,340.00,0.12,1.20,D50,New,Centre,Run 6,1.60,7.49,6.71,1.90,7.59,121.00
9,179.09,0.10,0.95,D50,New,Centre,Run 6,1.22,11.30,6.48,1.58,11.30,82.00
10,380.91,0.10,0.95,D50,New,Centre,Run 6,1.03,10.21,5.87,1.35,10.21,83.00
11,280.00,0.07,0.95,D50,New,Centre,Run 6,1.29,6.33,5.71,1.52,6.50,64.00
12,280.00,0.13,0.95,D50,New,Centre,Run 6,1.35,6.79,5.92,1.64,7.10,127.00
13,280.00,0.10,0.53,D50,New,Centre,Run 6,1.26,6.01,5.24,1.49,6.01,101.00
14,280.00,0.10,1.37,D50,New,Centre,Run 6,1.41,9.99,6.98,1.73,9.99,99.00
15,280.00,0.10,0.95,D50,New,Centre,Run 6,1.33,5.60,5.44,1.53,6.56,62.00
16,280.00,0.10,0.95,D50,New,Centre,Run 6,1.12,7.44,5.25,1.34,7.44,76.00
17,280.00,0.10,0.95,D50,New,Centre,Run 6,0.90,4.94,4.62,1.12,4.94,67.00
1,220.00,0.08,0.70,D50,New,Centre,Run 7,0.71,4.23,3.48,0.85,4.40,94.00
2,340.00,0.08,0.70,D50,New,Centre,Run 7,0.77,4.63,3.78,0.92,4.63,77.00
3,220.00,0.12,0.70,D50,New,Centre,Run 7,1.11,7.10,5.57,1.35,7.19,73.00
4,340.00,0.12,0.70,D50,New,Centre,Run 7,1.27,7.97,9.20,1.51,6.46,113.00
5,220.00,0.08,1.20,D50,New,Centre,Run 7,1.06,5.44,4.96,1.26,6.00,90.00
6,340.00,0.08,1.20,D50,New,Centre,Run 7,1.60,12.25,7.71,1.97,12.25,100.00
7,220.00,0.12,1.20,D50,New,Centre,Run 7,1.55,8.14,6.63,1.83,8.14,120.00
8,340.00,0.12,1.20,D50,New,Centre,Run 7,1.68,7.37,6.81,1.98,7.57,115.00
9,179.09,0.10,0.95,D50,New,Centre,Run 7,1.47,10.91,7.14,1.79,10.91,95.00
10,380.91,0.10,0.95,D50,New,Centre,Run 7,0.91,5.63,4.56,1.13,5.71,80.00
11,280.00,0.07,0.95,D50,New,Centre,Run 7,1.63,11.33,8.27,1.99,11.70,61.00
12,280.00,0.13,0.95,D50,New,Centre,Run 7,1.27,6.16,5.75,1.57,6.20,130.00
13,280.00,0.10,0.53,D50,New,Centre,Run 7,1.15,5.56,4.87,1.36,5.56,97.00
14,280.00,0.10,1.37,D50,New,Centre,Run 7,1.95,16.29,8.19,2.29,16.29,116.00
15,280.00,0.10,0.95,D50,New,Centre,Run 7,1.15,5.35,5.17,1.40,5.36,53.00
16,280.00,0.10,0.95,D50,New,Centre,Run 7,1.18,5.33,4.95,1.39,6.07,68.00
17,280.00,0.10,0.95,D50,New,Centre,Run 7,0.85,4.87,4.35,1.06,5.04,77.00
1,220.00,0.08,0.70,D50,New,Centre,Run 8,1.25,12.56,7.28,1.63,12.56,71.00
2,340.00,0.08,0.70,D50,New,Centre,Run 8,0.69,3.73,3.32,0.83,3.73,75.00
3,220.00,0.12,0.70,D50,New,Centre,Run 8,1.04,5.62,4.78,1.21,5.62,97.00
4,340.00,0.12,0.70,D50,New,Centre,Run 8,1.28,6.43,5.90,1.50,7.28,101.00
5,220.00,0.08,1.20,D50,New,Centre,Run 8,1.12,6.16,5.33,1.34,6.16,83.00
6,340.00,0.08,1.20,D50,New,Centre,Run 8,1.27,6.68,5.99,1.51,7.29,74.00
7,220.00,0.12,1.20,D50,New,Centre,Run 8,1.51,7.03,6.67,1.80,7.21,124.00
8,340.00,0.12,1.20,D50,New,Centre,Run 8,1.63,6.99,6.61,1.91,6.99,122.00
9,179.09,0.10,0.95,D50,New,Centre,Run 8,1.27,9.83,6.80,1.61,9.83,75.00
10,380.91,0.10,0.95,D50,New,Centre,Run 8,0.95,5.21,4.32,1.14,5.21,81.00
11,280.00,0.07,0.95,D50,New,Centre,Run 8,1.26,5.51,5.28,1.48,5.51,70.00
12,280.00,0.13,0.95,D50,New,Centre,Run 8,1.28,5.80,5.58,1.55,5.92,130.00
13,280.00,0.10,0.53,D50,New,Centre,Run 8,1.17,5.42,5.08,1.38,5.60,100.00
14,280.00,0.10,1.37,D50,New,Centre,Run 8,1.24,6.72,5.78,1.52,6.72,91.00
15,280.00,0.10,0.95,D50,New,Centre,Run 8,1.44,8.99,6.24,1.70,8.99,57.00
16,280.00,0.10,0.95,D50,New,Centre,Run 8,1.18,5.57,4.93,1.39,5.90,65.00
17,280.00,0.10,0.95,D50,New,Centre,Run 8,0.90,5.64,4.76,1.13,5.64,63.00
1,220.00,0.08,0.70,D50,New,Centre,Run 9,0.75,4.84,3.62,0.92,4.93,84.00
2,340.00,0.08,0.70,D50,New,Centre,Run 9,0.79,4.38,3.63,0.94,4.38,80.00
3,220.00,0.12,0.70,D50,New,Centre,Run 9,1.15,7.89,6.13,1.41,7.89,83.00
4,340.00,0.12,0.70,D50,New,Centre,Run 9,1.16,8.32,5.87,1.40,8.32,83.00
5,220.00,0.08,1.20,D50,New,Centre,Run 9,1.13,5.99,5.33,1.34,5.99,70.00
6,340.00,0.08,1.20,D50,New,Centre,Run 9,1.20,6.51,5.54,1.43,6.67,93.00
7,220.00,0.12,1.20,D50,New,Centre,Run 9,1.61,7.26,6.68,1.90,7.55,118.00
8,340.00,0.12,1.20,D50,New,Centre,Run 9,1.54,7.32,6.65,1.82,7.45,128.00
9,179.09,0.10,0.95,D50,New,Centre,Run 9,1.14,10.24,6.20,1.46,10.24,86.00
10,380.91,0.10,0.95,D50,New,Centre,Run 9,1.10,8.45,5.72,1.37,8.45,83.00
11,280.00,0.07,0.95,D50,New,Centre,Run 9,1.34,7.44,6.07,1.58,7.44,63.00
12,280.00,0.13,0.95,D50,New,Centre,Run 9,1.31,7.11,6.02,1.61,7.18,128.00
13,280.00,0.10,0.53,D50,New,Centre,Run 9,1.14,5.40,5.09,1.35,5.47,101.00
14,280.00,0.10,1.37,D50,New,Centre,Run 9,1.24,6.36,5.99,1.54,6.82,100.00
15,280.00,0.10,0.95,D50,New,Centre,Run 9,1.20,5.94,5.39,1.46,5.94,51.00
16,280.00,0.10,0.95,D50,New,Centre,Run 9,1.08,4.84,4.77,1.31,5.37,65.00
17,280.00,0.10,0.95,D50,New,Centre,Run 9,0.97,7.71,5.07,1.22,7.71,70.00
1,220.00,0.08,0.70,D50,New,Centre,Run 10,0.70,5.44,3.86,0.87,5.69,71.00
2,340.00,0.08,0.70,D50,New,Centre,Run 10,0.68,3.54,3.27,0.82,3.56,66.00
3,220.00,0.12,0.70,D50,New,Centre,Run 10,1.05,6.02,4.86,1.23,6.02,88.00
4,340.00,0.12,0.70,D50,New,Centre,Run 10,1.14,5.42,5.21,1.34,5.42,85.00
5,220.00,0.08,1.20,D50,New,Centre,Run 10,1.34,10.09,5.49,1.65,10.09,90.00
6,340.00,0.08,1.20,D50,New,Centre,Run 10,1.33,8.47,6.01,1.58,8.47,74.00
7,220.00,0.12,1.20,D50,New,Centre,Run 10,1.56,6.98,6.74,1.85,7.05,112.00
8,340.00,0.12,1.20,D50,New,Centre,Run 10,1.52,7.78,6.50,1.81,7.78,123.00
9,179.09,0.10,0.95,D50,New,Centre,Run 10,1.41,12.12,7.83,1.81,12.12,77.00
10,380.91,0.10,0.95,D50,New,Centre,Run 10,1.29,10.20,6.62,1.62,10.20,85.00
11,280.00,0.07,0.95,D50,New,Centre,Run 10,1.57,8.98,7.02,1.85,9.39,82.00
12,280.00,0.13,0.95,D50,New,Centre,Run 10,1.33,6.14,5.65,1.58,6.26,129.00
13,280.00,0.10,0.53,D50,New,Centre,Run 10,1.10,5.33,4.76,1.31,5.33,98.00
14,280.00,0.10,1.37,D50,New,Centre,Run 10,1.62,8.20,6.85,1.93,8.57,95.00
15,280.00,0.10,0.95,D50,New,Centre,Run 10,1.28,8.28,5.97,1.54,8.28,54.00
16,280.00,0.10,0.95,D50,New,Centre,Run 10,1.24,6.54,5.25,1.50,7.52,98.00
17,280.00,0.10,0.95,D50,New,Centre,Run 10,0.92,6.21,4.92,1.16,6.21,83.00
1,220.00,0.08,0.70,D50,New,Centre,Run 11,0.70,5.34,3.76,0.86,5.77,76.00
2,340.00,0.08,0.70,D50,New,Centre,Run 11,0.71,3.91,3.46,0.84,3.99,79.00
3,220.00,0.12,0.70,D50,New,Centre,Run 11,1.05,4.96,4.69,1.22,5.24,95.00
4,340.00,0.12,0.70,D50,New,Centre,Run 11,1.14,5.42,5.21,1.34,5.42,85.00
5,220.00,0.08,1.20,D50,New,Centre,Run 11,1.07,5.81,5.01,1.29,5.36,77.00
6,340.00,0.08,1.20,D50,New,Centre,Run 11,1.12,6.30,5.46,1.34,6.39,56.00
7,220.00,0.12,1.20,D50,New,Centre,Run 11,1.47,6.98,6.61,1.74,7.14,115.00
8,340.00,0.12,1.20,D50,New,Centre,Run 11,1.52,7.41,6.63,1.80,7.42,112.00
9,179.09,0.10,0.95,D50,New,Centre,Run 11,1.31,12.76,7.30,1.76,13.17,76.00
10,380.91,0.10,0.95,D50,New,Centre,Run 11,0.91,6.69,4.49,1.11,6.69,88.00
11,280.00,0.07,0.95,D50,New,Centre,Run 11,1.36,6.09,5.92,1.58,6.27,69.00
12,280.00,0.13,0.95,D50,New,Centre,Run 11,1.36,5.98,5.83,1.65,6.06,127.00
13,280.00,0.10,0.53,D50,New,Centre,Run 11,1.16,5.26,5.05,1.37,5.60,95.00
14,280.00,0.10,1.37,D50,New,Centre,Run 11,1.42,6.39,5.47,1.61,6.50,99.00
15,280.00,0.10,0.95,D50,New,Centre,Run 11,1.31,7.35,5.80,1.54,7.35,70.00
16,280.00,0.10,0.95,D50,New,Centre,Run 11,1.10,4.97,4.73,1.32,5.28,56.00
17,280.00,0.10,0.95,D50,New,Centre,Run 11,0.93,6.19,4.88,1.16,6.19,78.00
1,220.00,0.08,0.70,D50,New,Centre,Run 12,0.86,6.40,4.58,1.09,6.63,76.00
2,340.00,0.08,0.70,D50,New,Centre,Run 12,0.75,5.68,3.85,0.92,5.68,63.00
3,220.00,0.12,0.70,D50,New,Centre,Run 12,1.16,5.80,5.02,1.35,5.82,101.00
4,340.00,0.12,0.70,D50,New,Centre,Run 12,1.22,6.05,5.48,1.42,6.05,96.00
5,220.00,0.08,1.20,D50,New,Centre,Run 12,1.11,6.30,5.35,1.33,6.30,82.00
6,340.00,0.08,1.20,D50,New,Centre,Run 12,1.28,7.48,6.17,1.56,7.57,63.00
7,220.00,0.12,1.20,D50,New,Centre,Run 12,1.50,6.92,6.53,1.79,6.95,110.00
8,340.00,0.12,1.20,D50,New,Centre,Run 12,1.59,7.00,6.83,1.90,7.54,128.00
9,179.09,0.10,0.95,D50,New,Centre,Run 12,0.98,8.63,5.77,1.30,8.63,53.00
10,380.91,0.10,0.95,D50,New,Centre,Run 12,1.08,7.59,5.15,1.31,7.59,75.00
11,280.00,0.07,0.95,D50,New,Centre,Run 12,1.38,6.83,5.71,1.58,6.83,61.00
12,280.00,0.13,0.95,D50,New,Centre,Run 12,1.41,7.92,6.50,1.73,9.05,124.00
13,280.00,0.10,0.53,D50,New,Centre,Run 12,1.19,5.77,5.10,1.42,5.77,102.00
14,280.00,0.10,1.37,D50,New,Centre,Run 12,1.30,7.11,5.79,1.58,7.24,102.00
15,280.00,0.10,0.95,D50,New,Centre,Run 12,1.28,6.89,5.71,1.55,7.10,51.00
16,280.00,0.10,0.95,D50,New,Centre,Run 12,1.10,5.07,4.89,1.32,5.11,73.00
17,280.00,0.10,0.95,D50,New,Centre,Run 12,0.91,4.62,4.52,1.12,4.68,85.00
1,220.00,0.08,0.70,D50,New,CE,Run 13,0.90,6.89,4.47,1.14,6.89,79.00
2,340.00,0.08,0.70,D50,New,CE,Run 13,0.74,3.57,3.46,0.88,3.75,69.00
3,220.00,0.12,0.70,D50,New,CE,Run 13,1.09,4.90,4.67,1.26,4.93,106.00
4,340.00,0.12,0.70,D50,New,CE,Run 13,1.11,5.71,5.27,1.31,6.66,80.00
5,220.00,0.08,1.20,D50,New,CE,Run 13,1.35,10.30,6.49,1.64,10.37,69.00
6,340.00,0.08,1.20,D50,New,CE,Run 13,0.85,8.10,4.60,1.05,8.10,40.00
7,220.00,0.12,1.20,D50,New,CE,Run 13,1.58,7.49,6.71,1.87,7.68,118.00
8,340.00,0.12,1.20,D50,New,CE,Run 13,1.73,8.05,7.22,2.03,8.25,120.00
9,179.09,0.10,0.95,D50,New,CE,Run 13,1.08,6.33,5.24,1.35,6.33,69.00
10,380.91,0.10,0.95,D50,New,CE,Run 13,0.86,6.47,4.32,1.07,6.47,92.00
11,280.00,0.07,0.95,D50,New,CE,Run 13,1.29,6.40,5.62,1.53,6.40,65.00
12,280.00,0.13,0.95,D50,New,CE,Run 13,1.29,6.12,5.66,1.56,6.12,130.00
13,280.00,0.10,0.53,D50,New,CE,Run 13,1.27,5.62,5.38,1.50,5.80,100.00
14,280.00,0.10,1.37,D50,New,CE,Run 13,1.34,7.47,6.49,1.63,7.47,90.00
15,280.00,0.10,0.95,D50,New,CE,Run 13,1.28,6.71,6.03,1.54,6.71,46.00
16,280.00,0.10,0.95,D50,New,CE,Run 13,1.35,9.92,6.51,1.61,9.92,66.00
17,280.00,0.10,0.95,D50,New,CE,Run 13,1.07,6.60,5.01,1.29,6.60,87.00
1,220.00,0.08,0.70,D50,New,CE,Run 14,0.82,3.72,3.38,0.94,3.80,75.00
2,340.00,0.08,0.70,D50,New,CE,Run 14,0.95,8.06,4.79,1.19,8.06,61.00
3,220.00,0.12,0.70,D50,New,CE,Run 14,1.11,6.31,5.34,1.30,6.88,109.00
4,340.00,0.12,0.70,D50,New,CE,Run 14,1.11,5.60,5.17,1.31,5.62,75.00
5,220.00,0.08,1.20,D50,New,CE,Run 14,1.38,8.88,6.55,1.66,8.88,66.00
6,340.00,0.08,1.20,D50,New,CE,Run 14,0.81,5.38,4.22,0.98,5.38,46.00
7,220.00,0.12,1.20,D50,New,CE,Run 14,1.61,7.64,6.71,1.91,7.66,114.00
8,340.00,0.12,1.20,D50,New,CE,Run 14,1.60,7.47,6.89,1.90,7.52,121.00
9,179.09,0.10,0.95,D50,New,CE,Run 14,1.37,8.26,6.83,1.68,8.26,74.00
10,380.91,0.10,0.95,D50,New,CE,Run 14,0.78,4.96,4.31,0.98,4.97,77.00
11,280.00,0.07,0.95,D50,New,CE,Run 14,1.26,5.83,5.39,1.50,5.84,69.00
12,280.00,0.13,0.95,D50,New,CE,Run 14,1.38,7.30,6.26,1.66,7.30,129.00
13,280.00,0.10,0.53,D50,New,CE,Run 14,1.29,6.00,5.46,1.50,6.48,97.00
14,280.00,0.10,1.37,D50,New,CE,Run 14,1.24,6.76,5.85,1.51,7.09,103.00
15,280.00,0.10,0.95,D50,New,CE,Run 14,1.28,6.71,6.03,1.54,6.71,46.00
16,280.00,0.10,0.95,D50,New,CE,Run 14,1.23,6.03,5.30,1.46,6.03,68.00
17,280.00,0.10,0.95,D50,New,CE,Run 14,1.01,4.74,4.62,1.23,4.96,73.00
1,220.00,0.08,0.70,D50,New,CE,Run 15,0.81,3.92,3.49,0.94,4.18,75.00
2,340.00,0.08,0.70,D50,New,CE,Run 15,0.74,3.51,3.28,0.87,3.60,67.00
3,220.00,0.12,0.70,D50,New,CE,Run 15,1.23,8.69,6.02,1.48,8.69,91.00
4,340.00,0.12,0.70,D50,New,CE,Run 15,1.11,5.85,5.30,1.32,6.17,75.00
5,220.00,0.08,1.20,D50,New,CE,Run 15,1.29,8.89,6.42,157.00,9.27,66.00
6,340.00,0.08,1.20,D50,New,CE,Run 15,0.94,8.84,4.73,1.17,8.84,58.00
7,220.00,0.12,1.20,D50,New,CE,Run 15,1.64,7.26,6.95,1.96,7.40,124.00
8,340.00,0.12,1.20,D50,New,CE,Run 15,1.60,8.38,7.06,1.89,8.60,115.00
9,179.09,0.10,0.95,D50,New,CE,Run 15,0.97,7.10,5.20,1.25,7.10,69.00
10,380.91,0.10,0.95,D50,New,CE,Run 15,1.58,14.15,8.50,2.02,14.15,81.00
11,280.00,0.07,0.95,D50,New,CE,Run 15,1.17,5.53,5.40,1.41,5.70,62.00
12,280.00,0.13,0.95,D50,New,CE,Run 15,1.32,5.95,5.80,1.58,6.16,129.00
13,280.00,0.10,0.53,D50,New,CE,Run 15,1.20,5.75,5.19,1.41,5.75,101.00
14,280.00,0.10,1.37,D50,New,CE,Run 15,1.44,7.93,6.81,1.76,8.28,87.00
15,280.00,0.10,0.95,D50,New,CE,Run 15,1.23,5.66,5.51,1.51,5.72,43.00
16,280.00,0.10,0.95,D50,New,CE,Run 15,1.42,9.07,7.15,1.74,9.91,49.00
17,280.00,0.10,0.95,D50,New,CE,Run 15,1.08,5.64,4.97,1.29,5.64,67.00
1,220.00,0.08,0.70,D50,New,CE,Run 16,0.86,5.28,3.97,1.00,5.28,76.00
2,340.00,0.08,0.70,D50,New,CE,Run 16,0.70,3.76,3.63,0.86,3.76,64.00
